label,map_name,num_agents,seed,avg_throughput,elapsed_s,solved,ISR,CSR,ep_length
random_d0_a8,pico_s.*_od0_na32,8,0,18.431828849,0.43,True,1.0,1.0,24.125
random_d0_a8,pico_s.*_od0_na32,8,1,22.049257496,0.36,True,1.0,1.0,19.625
random_d0_a8,pico_s.*_od0_na32,8,2,19.172217095,0.42,True,1.0,1.0,21.25
random_d0_a16,pico_s.*_od0_na32,16,0,36.928709233,0.43,True,1.0,1.0,20.5
random_d0_a16,pico_s.*_od0_na32,16,1,39.737396409,0.4,True,1.0,1.0,21.4375
random_d0_a16,pico_s.*_od0_na32,16,2,40.148718884,0.4,True,1.0,1.0,21.125
random_d0_a32,pico_s.*_od0_na32,32,0,67.407264666,0.47,True,1.0,1.0,21.28125
random_d0_a32,pico_s.*_od0_na32,32,1,73.713253839,0.43,True,1.0,1.0,23.78125
random_d0_a32,pico_s.*_od0_na32,32,2,60.923499152,0.53,True,1.0,1.0,23.71875
random_d30_a8,pico_s.*_od30_na32,8,0,11.034587153,0.72,True,0.75,0.0,108.125
random_d30_a8,pico_s.*_od30_na32,8,1,23.589333042,0.34,True,1.0,1.0,34.75
random_d30_a8,pico_s.*_od30_na32,8,2,20.374638565,0.39,True,1.0,1.0,27.125
random_d30_a16,pico_s.*_od30_na32,16,0,16.354223319,0.98,True,0.625,0.0,120.8125
random_d30_a16,pico_s.*_od30_na32,16,1,41.753971176,0.38,True,1.0,1.0,33.5
random_d30_a16,pico_s.*_od30_na32,16,2,32.80397874,0.49,True,1.0,1.0,35.75
random_d30_a32,pico_s.*_od30_na32,32,0,22.848090607,1.4,True,0.65625,0.0,108.84375
random_d30_a32,pico_s.*_od30_na32,32,1,54.379081221,0.59,True,1.0,1.0,39.0
random_d30_a32,pico_s.*_od30_na32,32,2,56.669945135,0.56,True,1.0,1.0,39.34375
Paris_1_256_a8,Paris_1_256,8,0,0.26393341,30.31,True,0.875,0.0,149.0,
Paris_1_256_a8,Paris_1_256,8,1,0.263638594,30.34,True,0.875,0.0,149.0,
Paris_1_256_a8,Paris_1_256,8,2,0.263887753,30.32,True,0.875,0.0,149.0,
Paris_1_256_a16,Paris_1_256,16,0,0.509842412,31.38,True,0.875,0.0,160.375,
Paris_1_256_a16,Paris_1_256,16,1,0.521492696,30.68,True,0.875,0.0,160.375,
Paris_1_256_a16,Paris_1_256,16,2,0.520967623,30.71,True,0.875,0.0,160.375,
Paris_1_256_a32,Paris_1_256,32,0,1.006794717,31.78,True,0.75,0.0,168.8125,
Paris_1_256_a32,Paris_1_256,32,1,1.012372574,31.61,True,0.75,0.0,168.8125,
Paris_1_256_a32,Paris_1_256,32,2,1.011455177,31.64,True,0.75,0.0,168.8125,
brc202d_a8,brc202d,8,0,0.24793032,32.27,True,0.5,0.0,163.5,
brc202d_a8,brc202d,8,1,0.245025131,32.65,True,0.5,0.0,163.5,
brc202d_a8,brc202d,8,2,0.240359685,33.28,True,0.5,0.0,163.5,
brc202d_a16,brc202d,16,0,0.466741865,34.28,True,0.4375,0.0,196.0625,
brc202d_a16,brc202d,16,1,0.470436217,34.01,True,0.4375,0.0,196.0625,
brc202d_a16,brc202d,16,2,0.472972722,33.83,True,0.4375,0.0,196.0625,
brc202d_a32,brc202d,32,0,0.835308095,38.31,True,0.28125,0.0,220.375,
brc202d_a32,brc202d,32,1,0.840825517,38.06,True,0.28125,0.0,220.375,
brc202d_a32,brc202d,32,2,0.83995858,38.1,True,0.28125,0.0,220.375,
den312d_a8,den312d,8,0,28.667177661,0.28,True,1.0,1.0,73.5,
den312d_a8,den312d,8,1,30.487130652,0.26,True,1.0,1.0,73.5,
den312d_a8,den312d,8,2,27.975285528,0.29,True,1.0,1.0,73.5,
den312d_a16,den312d,16,0,52.720652397,0.3,True,1.0,1.0,59.6875,
den312d_a16,den312d,16,1,63.059331094,0.25,True,1.0,1.0,59.6875,
den312d_a16,den312d,16,2,57.362131265,0.28,True,1.0,1.0,59.6875,
den312d_a32,den312d,32,0,68.77663097,0.47,True,1.0,1.0,56.96875,
den312d_a32,den312d,32,1,62.813401455,0.51,True,1.0,1.0,56.96875,
den312d_a32,den312d,32,2,60.698852828,0.53,True,1.0,1.0,56.96875,
den520d_a8,den520d,8,0,0.732269049,10.92,True,0.875,0.0,165.0,
den520d_a8,den520d,8,1,0.710898898,11.25,True,0.875,0.0,165.0,
den520d_a8,den520d,8,2,0.701177329,11.41,True,0.875,0.0,165.0,
den520d_a16,den520d,16,0,1.362487846,11.74,True,0.6875,0.0,180.4375,
den520d_a16,den520d,16,1,1.385460966,11.55,True,0.6875,0.0,180.4375,
den520d_a16,den520d,16,2,1.38444522,11.56,True,0.6875,0.0,180.4375,
den520d_a32,den520d,32,0,2.61913556,12.22,True,0.84375,0.0,158.28125,
den520d_a32,den520d,32,1,2.623054399,12.2,True,0.84375,0.0,158.28125,
